\AidData TUFF Project ID;Recommended For Aggregates;Umbrella;Financier Country;Recipient;Recipient Region;Commitment Year;Title;Status;Intent;Flow Type;Concessional;Flow Class;Sector Code;Sector Name;Funding Agencies;Funding Agencies Type;Amount (Original Currency);Original Currency;Amount (Constant USD2017);Amount (Nominal)
53631;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China provides humanitarian aid to Afghanistan for blizzard (Linked to Project ID#70640, #53630, #53629);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;137100000;AFN;2015410.812;2015410.812
53632;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China donates equipment to Kabul University ;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
53633;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China donates $1 million USD to UNHCR for humanitarian relief in Afghanistan;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;1000000;USD;1000000;1000000
53634;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;Chinese Government provides RMB 180 million grant for National Vocational and Technical College Project;Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;China Ministry of Commerce;Government Agency;18000000;CNY;2663728.108;2663728.108
53636;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China donates desks and chairs to China-Afghan Friendship School;Completion;Representational;Grant;Yes;OOF-like;110;EDUCATION;Chinese Embassy;Government Agency;;;;
53637;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China donates Video Conference Systems to Afghanistan Ministry of Foreign Affairs;Completion;Development;Grant;Yes;ODA-like;150;GOVERNMENT AND CIVIL SOCIETY;Chinese Embassy;Government Agency;;;;
53644;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China donates $1 million USD to UN World Food Programme for food aid in Afghanistan (Linked to Umbrella Project #53639);Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;1000000;USD;1000000;1000000
53999;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;Chinese Government provides RMB 500 million grant for the 10.000 Housing Units Project (Linked to Project ID #54451);Pipeline: Commitment;Development;Grant;Yes;ODA-like;160;OTHER SOCIAL INFRASTRUCTURE AND SERVICES;China Ministry of Commerce;Government Agency;500000000;CNY;73992447.44;73992447.44
56587;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China Grants 34.14 million AFA to Afghan Ministry of Foreign Affairs (linked to #53879) ;Completion;Development;Grant;Yes;ODA-like;150;GOVERNMENT AND CIVIL SOCIETY;Unspecified Chinese Government Institution;Government Agency;34140000;AFN;501868.1629;501868.1629
69620;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;Chinese Government provides grant for the First Phase of the National Center for Science and Technology Education Technical Cooperation Project (Linked to Project #53742);Completion;Development;Grant;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
70640;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China provides aids for the construction of 174 simple Bungalow in Badakhshan province for snow disaster (Linked to Project ID#53630, #53629, #53631);Implementation;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;;;;
72547;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China government provided scholarships and equipment for Afghanistan women ;Completion;Development;Scholarships/training in the donor country;Yes;ODA-like;110;EDUCATION;Unspecified Chinese Government Institution;Government Agency;;;;
73850;Yes;No;China (People's Republic of);Afghanistan;Asia;2017;China donates first batch of emergency food aid worth 50 million RMB to Afghanistan;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;Unspecified Chinese Government Institution;Government Agency;50000000;CNY;7399244.744;7399244.744
59440;Yes;No;China (People's Republic of);Africa, regional;Africa;2017;China Eximbank provides $250 million export credit to Eastern and Southern African Trade and Development Bank for on-lending purposes;Implementation;Mixed;Export Buyer's Credit;Vague;OOF-like;240;BANKING AND FINANCIAL SERVICES;Export-Import Bank of China;State-owned Policy Bank;250000000;USD;250000000;250000000
66132;Yes;No;China (People's Republic of);Albania;Europe;2017;Chinese Government provides $3 million grant — via ETCA — for the provision of equipment to rehabilitate the National Theatre of Opera and Ballet and Folkloric Ensemble and other unspecified activities (Linked to Project ID#66128);Completion;Development;Grant;Yes;ODA-like;160;OTHER SOCIAL INFRASTRUCTURE AND SERVICES;Unspecified Chinese Government Institution;Government Agency;3000000;USD;3000000;3000000
66133;Yes;No;China (People's Republic of);Albania;Europe;2017;Chinese Government provides EUR 329.351 grant for provision of musical instruments for the RTSH Symphonic Orchestra;Completion;Development;Grant;Yes;ODA-like;160;OTHER SOCIAL INFRASTRUCTURE AND SERVICES;Unspecified Chinese Government Institution;Government Agency;329351;EUR;371410.2382;371410.2382
66136;Yes;No;China (People's Republic of);Albania;Europe;2017;China grants for Seminar on Agriculture Technology and Water Resource Management for Albania in 2017;Completion;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;Chinese Embassy;Government Agency;131652;EUR;148464.4063;148464.4063
66147;Yes;No;China (People's Republic of);Albania;Europe;2017;Chinese Government grants 131.652 euros to Albania for Non-traditional Security Threats Seminar;Completion;Development;Scholarships/training in the donor country;Yes;ODA-like;150;GOVERNMENT AND CIVIL SOCIETY;Unspecified Chinese Government Institution;Government Agency;131652;EUR;148464.4063;148464.4063
66152;Yes;No;China (People's Republic of);Albania;Europe;2017;Chinese Government provides EUR 1.3 million grant for Demonstration Center for Agricultural Machinery Cooperation Project (Linked to Project ID#42414);Completion;Development;Grant;Yes;ODA-like;310;AGRICULTURE, FORESTRY, FISHING;China Ministry of Commerce;Government Agency;1317632;EUR;1485898.069;1485898.069
61201;Yes;No;China (People's Republic of);Algeria;Africa;2017;Chinese Government provides RMB 200 million grant — via ETCA — for Youth Culture and Leisure Complex Construction Project (Linked to Project ID#52453);Implementation;Development;Grant;Yes;ODA-like;160;OTHER SOCIAL INFRASTRUCTURE AND SERVICES;China Ministry of Commerce;Government Agency;200000000;CNY;29596978.97;29596978.97
63625;Yes;No;China (People's Republic of);America, regional;America;2017;China donates $5 million to UNDP for relief to the Caribbean following Hurricane Maria;Completion;Development;Grant;Yes;ODA-like;720;EMERGENCY RESPONSE;China Ministry of Commerce;Government Agency;5000000;USD;5000000;5000000
65676;Yes;No;China (People's Republic of);Angola;Africa;2017;China Eximbank and CDB provide $60 million loan for Porto Amboim Water Supply Project;Completion;Development;Loan;Vague;Vague (Official Finance);140;WATER SUPPLY AND SANITATION;Export-Import Bank of China;State-owned Policy Bank;60000000;USD;60000000;60000000
66314;Yes;No;China (People's Republic of);Angola;Africa;2017;China Development Bank provides loan for Boavista-Miramar-São Paulo Road Project;Completion;Development;Loan;Vague;Vague (Official Finance);210;TRANSPORT AND STORAGE;China Development Bank (CDB);State-owned Policy Bank;;;;
