Recipient,"FakeColumn","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"108396.7","2984.53","22254.76",,"1680.13","1573.33","1963.35","3756.3","135.15","2108.92","901.95","10026.27","10082.1","384.24","100.37","27.26","718.97","5090.88","13125.44","752.38","256.41","5114.65","273.51","2793.63","204.79","377.12","56.83","34.67","3018.33","3361.73","1771.59","10771.66","27934.74","9389.98",,,,"15.1","9.5","95.24",,"218.46","10.65",,"15.53",,,,,"1026.18","483",,,"601.04","509.83",,"-263.18","-263.18","1239.47","1018.25","166.21","852.04",,,,,,"27.79",,"49.7","143.73","3341.65",,,"198.66",,"122.91","398.85",,,"201.2","224.74","710.76",,,"350.11","579.9","554.52",,,"6806.84","6806.84",,"6806.84",,"1740",,"53.92",,,,,,"475.1","1006.24",,,"82.86","62.94","58.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80787.39","56281.72",
"All Developing Countries, Total","","107452.3","83112.97","2791.23","21548.1",,"1449","1231.98","1308.21","2832.83","64.42","1357.48","596.74","7239.19","7446.79","206.47","39.58","20.14","482.27","2269.54","10385.08","463.35","187","3682.71","223.78","2040.11","47.96","218.3","31.43","14.23","1862.95","2255.9","1405.03","8168.46","25582.04","8686.53",,,,"4.36","1.9","79.65",,"217.54","0.93",,"1.26",,,,,"979.72","465",,,"532.47","508.4",,"-263.18","-263.18","1236.26","1018.25","166.21","852.04",,,,,,"27.79",,"49.7","140.52","3341.65",,,"198.66",,"122.91","398.85",,,"201.2","224.74","710.76",,,"350.11","579.9","554.52",,,"6806.84","6806.84",,"6806.84",,"1740",,"53.92",,,,,,"475.1","1006.24",,,"82.86","62.94","58.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"63923.93","38711.61",
"All Multilateral Recipients, Total","","26183.69","25283.73","193.3","706.66",,"231.13","341.35","655.14","923.47","70.73","751.44","305.21","2787.08","2635.31","177.77","60.79","7.12","236.7","2821.34","2740.36","289.03","69.41","1431.94","49.73","753.52","156.83","158.82","25.4","20.44","1155.38","1105.83","366.56","2603.2","2352.7","703.45",,,,"10.74","7.6","15.59",,"0.92","9.72",,"14.27",,,,,"46.46","18",,,"68.57","1.43",,,,"3.21",,,,,,,,,,,,"3.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16863.46","17570.11",
"Africa, Total","","35821.22","24669.06","422.4","10729.76",,"60.39","148.03","612.73","1004.95","5.09","589.51","156.59","4646.68","2658.54","14.31","9.57","6.9","308.02","920.73","1102.62","39.14","89.91","1422.43","18.15","715.29","1.36","123.88","18.14",,"644.5","798.04","315.56","3800.09","4437.91","3921.84",,,,"0.51","0.05","28.24",,"124.62","0",,"0.02",,,,,"22.46",,,,"11.76","234.74",,"-121.03","-121.03","1105.83","1018.25","166.21","852.04",,,,,,,,,"87.58","1278.78",,,"122.74",,"16.38","200.99",,,"89.01","55.52","251.9",,,,"189.14","353.1",,,"3607.86","3607.86",,"3607.86",,"936.48",,"53.02",,,,,,"139.37","672.35",,,"1.39","40.56","29.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18571.52","16968.15",
"North of Sahara, Total","","2684.52","1583.15","265.21","836.16",,"6.75","21.39","33.25","26.66","0.56","7.75","5.63","719.15","214","4.36",,,"0.35","46.8","-36.82","5.73","2.72","21.44","0.01","1.95","0.21","1.17",,,"80.7","4.87","14.22","27.41","372.89","720.58",,,,"0.01","0.02","0.4",,"91.04","0",,,,,,,,,,,"8.37","165.37",,,,"8.49","0.9",,"0.9",,,,,,,,,"7.59","48.96",,,"9.97",,"0.55","3.92",,,"4.67","3.43","6.06",,,,"11.44","8.92",,,"24.33","24.33",,"24.33",,"33.8",,,,,,,,"19.59","4.83",,,"1.39","-0.11","8.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1370.09","1191.76",
"South of Sahara, Total","","32420.1","22457.44","134.73","9827.93",,"53.61","125.42","570.42","665.44","4.01","561.07","135.88","3905.92","2399.63","9.64","9.57","6.9","307.67","873.93","1135.87","33.41","86.4","1331.28","18.14","650.2","0.96","122.62","18.14",,"560.56","737.05","298.87","3769.81","4065.02","3201.04",,,,"0.5","0.03","27.84",,"33.58",,,"0.02",,,,,,,,,"3.39","69.37",,"-121.03","-121.03","1097.34","1017.35","166.21","851.14",,,,,,,,,"79.99","1174.24",,,"112.77",,"15.83","197",,,"78.72","52.09","245.84",,,,"127.81","344.18",,,"3582.81","3582.81",,"3582.81",,"893.53",,"53.02",,,,,,"110.63","667.52",,,,"40.67","21.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16815.62","15529.98",
"Eastern Africa, Total","","13399.73","8475.94","71.91","4851.88",,"19.07","87.74","106.03","322.25","1.86","346.58","97.07","459.68","495.63","4.79","9.57","5.54","246.05","216.72","392.62","17.79","8.84","638.57","13.08","508.83","0.29","23.64","18.11",,"188.04","488.32","91.06","1151.35","2516.82","1557.39",,,,"0.43","0.03","26.43",,"4.27",,,,,,,,,,,,"3.25","37.5",,"4.66","4.66","529.1","515.27","27.02","488.25",,,,,,,,,"13.83","617.89",,,"59.03",,"6.94","94.75",,,"32.72","21.97","110.96",,,,"50.31","241.21",,,"1694.39","1694.39",,"1694.39",,"448.45",,"18.8",,,,,,"31.26","365.78",,,,"29.13","3.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5555.07","4588.88",
"Middle Africa, Total","","4735.11","3215.01","7.38","1512.72",,"3.94","12.99","190.44","98.68","0.48","18.28","9.22","1165.27","338.91","2.21",,,"10.46","75.26","431.95","1.32","3.42","84.62","0.22","47.95","0.31","32.97","0.02",,"180.44","49.65","39.77","96.09","320.14","457.47",,,,,,"0.19",,"0.81",,,,,,,,,,,,"0.04","6.34",,"2.37","2.37","186.29","175.64","107.06","68.58",,,,,,,,,"10.65","173.62",,,"8.26",,"3.13","36.52",,,"16.13","9.03","47.06",,,,"24.24","29.25",,,"584.58","584.58",,"584.58",,"108.39",,"7.1",,,,,,"5.29","94.16",,,,,"1.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2526.3","2271.04",
"Southern Africa, Total","","958.03","646.85","-0.65","311.83",,"5.53","1.37","18.77","25.45","0.48","21.39","17.29","31.89","65.69","0.86",,"1.36","31.24","3.55","48.22","0.14","7.73","59.94","1.66","19.37","0.02","0.73",,,"8.12","28.57","9.37","70.1","168.01","203.91",,,,,,"0.39",,"-1.31",,,,,,,,,,,,"0.03","0.24",,,,"-3.67","-3.67",,"-3.67",,,,,,,,,,"37.67",,,"1.81",,"2.42","4.9",,,"2.78","2.49","5.56",,,,"11.52","6.19",,,"7.61","7.61",,"7.61",,"66.31",,"-2.42",,,,,,"10.93","59.02",,,,"-0.24","-0.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"412.91","367.74",
"Western Africa, Total","","11981.33","9023.62","56.09","2901.62",,"0.23","21.16","224.49","214.64","1.19","157.63","7.21","2047.8","1458.88","1.78",,,"18.88","552.43","263.08","14.16","60.72","480.47","1.63","43.27","0.34","59.9","0.01",,"179.04","91.3","131.26","2436.87","555.25","827.79",,,,"0.07",,"0.83",,"29.81",,,"0.02",,,,,,,,,"0.07","25.29",,"-128.06","-128.06","354.63","299.12","32.13","266.99",,,,,,,,,"55.51","329.08",,,"43.67",,"3.34","60.83",,,"27.09","17.39","80.19",,,,"41.74","54.83",,,"1286.15","1286.15",,"1286.15",,"232.03",,"29.54",,,,,,"26.89","146.47",,,,"11.78","17.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7528.95","7800.1",
