"","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients","",,"128484.38","6418.35","33618.14","1971.04","3826.08","1208.4","3003.9","5214.11","227.56","2870.99","1332.98","12915.12","12985.33","507.72","114.34","28.75","895.18","2996.4","11057.77","1173.75","402.7","6357.34","342.19","4371.58","378.54","648.94","73.71","58.6","5949.49","4533.5","2299.95","13053.02","29656.44","12746.71",,"40.49",,"51.17","18.76","144.82",,"232.29","15.64","26.63","36.74","13.8",,"114.26","472.39","3479.64","380.91","4.47",,"967.42","418.92",,"1229.93","1229.93","2180.38","1829.76","127.47","1702.29",,,,,,"55.22","15.6",,"279.8","4189.08",,"87.86","283.87",,"245.76","602.05","11.89",,"313.7","392.56","1045.77",,"50.94","544.97",,"243.47","366.24",,"7818.67","7818.67",,"7818.67",,"5453.37","21.53","75.88","477.73",,,,"771.53","723.3","3003.47",,,"20.5","49.72","159.98","149.73",,,,,,"1971.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"87878.19","70513.76",
"All Developing Countries, Total","","129264.01","90647.56","5249.43","33367.02","1896.04","3287.08","612.43","2024.91","3926.4","79.36","2108.74","839.13","8055.56","8035.51","211.82","28.36","20.77","585.27","759.15","7337.44","900.61","262.02","4841.43","271.21","3352.93","96.83","396.07","19.94","22.32","3998.86","2929.13","1712.29","8016.8","25915.19","12495.59",,"0.23",,"30.41","4.91","127.6",,"210.58","1.6","21.8","16.4","8.4",,"26.67","302.14","2870.43","326.03","-4.39",,"920.13","386.49",,"1229.93","1229.93","2180.38","1829.76","127.47","1702.29",,,,,,"55.22","15.6",,"279.8","4189.08",,"87.86","283.87",,"245.76","602.05","11.89",,"313.7","392.56","1045.77",,"50.94","544.97",,"243.47","366.24",,"7818.67","7818.67",,"7818.67",,"5453.37","21.53","75.88","477.73",,,,"771.53","723.3","3003.47",,,"20.5","49.72","159.98","149.73",,,,,,"1896.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62046.05","43923.64",
"All Multilateral Recipients, Total","","39256.86","37836.82","1168.92","251.12","75","539","595.97","978.99","1287.71","148.2","762.25","493.85","4859.56","4949.82","295.9","85.98","7.98","309.91","2237.25","3720.33","273.14","140.68","1515.91","70.98","1018.65","281.71","252.87","53.77","36.28","1950.63","1604.37","587.66","5036.22","3741.25","251.12",,"40.26",,"20.76","13.85","17.22",,"21.71","14.04","4.83","20.34","5.4",,"87.59","170.25","609.21","54.88","8.86",,"47.29","32.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25832.14","26590.12",
"Africa, Total","","47819.5","29140.29","335.39","18343.82","580.34","189.82","235.52","1211.46","1534.53","8.14","860.42","312.29","4187.36","1947.52","32.18","0.94","11.1","397.61","366.65","1887.66","139.88","126.95","1369.22","10.7","947.32","3.18","289.33","2.03","0.62","1244.7","874.4","341.77","3075.44","7531.55","5510.15",,,,"1.42","0.09","41.04",,"130.92",,,"0.01",,,"0.65",,"29.07",,"1.11",,"38.08","93",,"1194.2","1194.2","2001.77","1829.76","127.47","1702.29",,,,,,,,,"172.01","1438.47",,"27.36","123.84",,"37.34","277.24",,,"153.68","61.16","499.79",,"41.21",,,"127.09","89.76",,"5201.17","5201.17",,"5201.17",,"2998.06","8.62","75.88","375.22",,,,"317.05","207.51","1914.4",,,"0.15","28.8","70.44",,,,,,,"580.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20530.71","16545.96",
"North of Sahara, Total","","2667.02","1588.53","91.23","987.26","3.42","4.22","8.88","29.71","19.48","0.55","24.07","3.33","611.11","211.23","13.41","0.16",,"0.14","21.55","154.9","15.22","1.72","11.64",,"1.77","0.17","0.31",,"0.05","313.29","3.47","13.08","18.52","106.55","710.97",,,,"0.26",,"0.31",,"73.99",,,,,,"0.24",,,,"0.06",,"3.64","12.73",,,,"-7.15","-7.04",,"-7.04",,,,,,,,,"-0.11","27.49",,"3.16","-7.13",,"0.97","5.41",,,"7.85","8.43","6.76",,,,,"2.04",,,"-47.6","-47.6",,"-47.6",,"303.55",,,"244.47",,,,,"25.24","16.06",,,"0.15","-0.16","17.79",,,,,,,"3.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1143.34","1273.31",
"South of Sahara, Total","","43597.18","26493.63","214.53","16889.02","489.55","150.51","217.57","1175.11","1380.43","7.59","797.55","284.32","3471.5","1560.69","16.23","0.78","11.1","393.88","342.88","1663.63","117.21","113.3","1331.84","10.7","843.6","3.01","288.73","2.03","0.57","872.92","807.09","321.75","2882.11","7425","4718.27",,,,"1.16","0.09","40.73",,"56.92",,,"0.01",,,"0.41",,,,"1.04",,"34.44","79.73",,"1194.2","1194.2","1740.46","1568.34","127.47","1440.87",,,,,,,,,"172.12","1307.79",,"14.76","130.97",,"32.57","271.64",,,"145.83","52.73","493.03",,"41.21",,,"125.05",,,"5245.31","5245.31",,"5245.31",,"2683","8.62","75.88","130.75",,,,"317.05","175.88","1898.34",,,,"28.96","47.52",,,,,,,"489.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18726.24","14569.7",
"Eastern Africa, Total","","20144.87","12349.59","152.2","7643.08","160.2","106.07","37.07","261.27","578.45","3.05","482.53","217.19","1052.74","681.11","3.7","0.23","7.97","313.24","125.02","778.73","49.64","12.18","457.98","7.04","653.6","1.04","113.23","2.03","0.39","134.96","486.05","121","1690.78","3971.3","2081.56",,,,"0.24","0.08","37.33",,"15.41",,,,,,"0.15",,,,"0.5",,"23.14","75.35",,"237.77","237.77","770.88","751.85","10.73","741.12",,,,,,,,,"19.03","593.97",,"6.37","95.23",,"11.41","126.74",,,"59.56","25.18","210.95",,"11.45",,,"47.08",,,"2483.59","2483.59",,"2483.59",,"1475.31",,"35.52","38.64",,,,"164.97","45.53","1141.83",,,,"16.78","32.04",,,,,,,"160.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8878.13","6075.79",
"Middle Africa, Total","","6566.81","4619.35","7.75","1939.7","14.34","8.78","135.33","720.03","69.52","2.66","8.42","16.44","1137.87","206.09","2.07","0.05","0.12","17.44","169.44","216.17","27.92","5.58","426.5",,"44.14","1.57","14.09",,"0.05","353.4","95.59","56.16","353.28","530.64","701.08",,,,,,"0.28",,"1.09",,,"0.01",,,"0.11",,,,"0.03",,"2.73","3.5",,"23.35","23.35","294.53","276.97","107.34","169.63",,,,,,,,,"17.56","221.8",,"2.18","12.51",,"4.49","38.34",,,"24.79","12.87","100.99",,"11.23",,,"14.4",,,"417.84","417.84",,"417.84",,"281.1",,"6.76",,,,,"66.83","10.67","193.64",,,,,"3.2",,,,,,,"14.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2683.01","3665.9",
"Southern Africa, Total","","1799.47","1259.48","3.35","536.64","17.87","5.25","1.19","16.1","19.63","0.17","21.54","9.81","53.23","70.32","0.94","0.24","2.04","24.21","0.67","71.61","0.69","13.48","37.61","1.03","25.1","0.06","0.06",,"0.02","9.66","22.59","8.89","45.75","797.59","298.96",,,,"0.28",,"1.02",,"1.2",,,,,,,,,,"0.35",,"0.08","0.41",,"4.42","4.42","6.68","6.68",,"6.68",,,,,,,,,,"30.73",,"1.67","-1.48",,"4.09","6.37",,,"7.34","5.33","5.14",,,,,"2.27",,,"33.41","33.41",,"33.41",,"162.44",,"1.63",,,,,"0.85","21.68","133.54",,,,"-0.25","4.99",,,,,,,"17.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1058.8","327.65",
"Western Africa, Total","","12601.15","6282.17","50.59","6268.39","79.2","3.6","26.97","158.24","438.39","1.65","253.43","8.66","1052.38","477.24","2.02","0.26","0.97","29.44","41.37","594.66","28.64","81.22","325.37","0.22","66.67","0.34","158.17",,"0.11","196","104.64","107.44","628.3","1495.77","1246.99",,,,"0.64","0.01","2.09",,"39.22",,,,,,"0.15",,,,"0.16",,"7.86","0.46",,"928.66","928.66","666.46","532.84","9.4","523.44",,,,,,,,,"133.62","444.72",,"4.54","24.71",,"8.05","99.72",,,"44.47","9.09","174.31",,"18.53",,,"61.3",,,"2278.77","2278.77",,"2278.77",,"702.79","8.62","30.1","92.11",,,,"84.4","48.8","419.04",,,,"12.43","7.29",,,,,,,"79.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4728.11","3545.81",
"America, Total","","9710.06","7283.07","23.5","2403.48","54.95","34.69","38.25","109.98","809.87","5.58","126.1","68.03","664.7","912.68","5.51","0.19","1.53","20.92","95.42","-343.55","64.46","31.15","225.37","5.31","226.2","0.48","9.99",,"0.59","1370","172.82","152.16","125.94","2348.7","1289.37",,,,"0.17","0.68","14.72",,"-9.26","0.12",,"0.02",,,"0.09",,,,"0.29",,"11.2","5.48",,"145.96","145.96","54.99",,,,,,,,,"55.22",,,"-0.23","194.49",,"17.24","9.87",,"12.44","34.01",,,"38.68","7.83","26.8",,"2.33",,,"7.73","37.56",,"319.92","319.92",,"319.92",,"398.76","9.33",,,,,,"16.84","154.21","173.21",,,"0.53","6.64","38",,,,,,,"54.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4613.76","3983.7",
"Caribbean & Central America, Total","","6373.82","4719.38","15.05","1639.39","32.79","25.32","30.17","46.71","577.99","4","80.35","39.38","389.87","213.53","2.55","0.13","1.53","15.13","60.07","320.63","30.75","23.26","67.94","2.62","102.35","0.26","0.45",,"0.42","647.73","100.39","76.86","67.48","1791.51","881.76",,,,"0.15","0.68","6.92",,"-5.85","0.12",,"0.02",,,"0.07",,,,"0.06",,"7.83","5.05",,"147.37","147.37","51.97",,,,,,,,,"51.97",,,,"86.15",,"5.12","5.15",,"6.5","22.34",,,"19.71","2.44","15.97",,"2.33",,,"6.59",,,"277.07","277.07",,"277.07",,"195.07","9.33",,,,,,"12.95","59.37","97.22",,,,"5.74","10.46",,,,,,,"32.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3421.08","1789.82",
"Caribbean, Total","","3704.16","2617.01","13.15","1074","11.86","22.74","9.18","34.59","511.4","3.85","25.07","12.67","146.61","41.66","2.17","0.04","0.81","6.96","64.34","93.87","8.54","4.17","16.55","1.77","68.24","0.2","0.18",,"0.42","250.66","40.37","28.21","72.79","1148.95","652.71",,,,"0.13","0.68","5.46",,"-5.68","0.12",,"0.02",,,"0.07",,,,"0.01",,"7.64","4.71",,"129.39","129.39","49.69",,,,,,,,,"49.69",,,,"46.25",,"2.38","3.91",,"2.46","14.26",,,"8.87","0.23","8.89",,"2.33",,,"2.92",,,"122.07","122.07",,"122.07",,"73.89",,,,,,,,"10.34","51.66",,,,"-0.42","12.31",,,,,,,"11.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2079.62","732.48",
