Recipient,"FakeColumn","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"All Recipients",,,"144919.6","15983.09","41792.14","4290.63","3277.52","1635.48","2300.16","3930.44","260.24","2369.19","1059.61","9621.66","24735.69","368.53","199.11","58.72","802.59","5087.39","10416.74","2246.16","391.04","4966.26","446.84","4380.08","662.95","343.07","106","81.3","4223.67","4892.91","3582.46","18052.81","34420.98","17106.36","13.43","67.66","40.63",,"43.41","350.54","30.83","1080.09","30.18","24.57","57.15","20.55",,"202.96","1258.04","1539.04","327.54","167.69",,"6487.68","4241.11",,"-129.36","-129.36","5233.36","2189.65","160.38","2029.27","1374.19","1374.19","1442.27","1442.27",,"-24.02","83.24",,"168.03","5211.43",,"71.55","426.16","239.63","185.48","377.18","13.97","79.25","257.99","503.11","1440.27",,"46.58","716.53",,"306.35","534.36","13","8105.22","8105.22",,"8105.22",,"6265.14","39.5",,"47.79","0.88",,"51.32","1338.84","850.78","3546.67","23.95","3.02",,"14.35","235.59","112.44",,"18.5","15.86",,,"3741.75",,"45.44",,,"44.19",,,"8.27",,,"14.32",,"10.66",,,"29.42",,"51.36",,"13.33",,"17.74","23.71",,,,,,"13.41","221.24",,"21.44",,"106265.72","82159.66","242.68"
"All Developing Countries, Total",,"158810.93","103109.48","14183.3","41518.16","3726.63","2290.45","986.23","1425.17","2660.69","71.38","1653.69","638.41","5641.5","19636.35","159.15","54.78","47.68","427.01","2420.26","7048.41","1548.47","274.83","3157.58","360.78","3451.28","148.99","124.77","25.69","27.86","2543.16","3451.16","2772.51","11517.08","28544.15","16832.38","4.14","12.21","3.47",,"18.6","255.7","19.84","1048.15","3.39","18.86","13.88","10.62",,"43.09","767.12","1205.85","295.8","53.73",,"6237.53","4171.32",,"-129.36","-129.36","5233.36","2189.65","160.38","2029.27","1374.19","1374.19","1442.27","1442.27",,"-24.02","83.24",,"168.03","5211.43",,"71.55","426.16","239.63","185.48","377.18","13.97","79.25","257.99","503.11","1440.27",,"46.58","716.53",,"306.35","534.36","13","8105.22","8105.22",,"8105.22",,"6265.14","39.5",,"47.79","0.88",,"51.32","1338.84","850.78","3546.67","23.95","3.02",,"14.35","235.59","112.44",,"18.5","15.86",,,"3177.75",,"45.44",,,"44.19",,,"8.27",,,"14.32",,"10.66",,,"29.42",,"51.36",,"13.33",,"17.74","23.71",,,,,,"13.41","221.24",,"21.44",,"77468.44","54385.06","242.68"
"All Multilateral Recipients, Total",,"43883.89","41810.12","1799.79","273.98","564","987.07","649.25","874.99","1269.75","188.85","715.49","421.2","3980.17","5099.34","209.38","144.33","11.03","375.58","2667.13","3368.33","697.69","116.2","1808.68","86.06","928.79","513.96","218.3","80.31","53.45","1680.51","1441.75","809.96","6535.73","5876.84","273.98","9.29","55.45","37.16",,"24.81","94.83","11","31.94","26.79","5.71","43.28","9.93",,"159.86","490.92","333.19","31.74","113.95",,"250.15","69.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28797.29","27774.6",
"Africa, Total",,"50359.02","27213.43","3091.86","20053.73","1136.87","76.92","64.33","471.4","973.5","6.32","454.62","188.45","2216.69","3498.65","0.81","6.27","14.69","251.02","337.09","1494.71","415.64","122.74","662.68","8.3","629.43","80.27","72.36","2.45","0.55","40.98","842.14","583.7","3857.06","9839.67","6327.72","0.17","0.06",,,"0.6","5.22",,"415.94",,,"0.02","1.79",,"2.01","37.48","479.61",,"1.81",,"-306.18","2453.33",,"23.22","23.22","2284.58","2189.65","160.38","2029.27",,,,,,,,,"94.93","1732.7",,"22.84","239.3","41.41","39.26","220.81",,"73.4","123.28","106.6","548.83",,"34.27",,,"167.43","114.43","0.84","5843.84","5843.84",,"5843.84",,"3841.67","13.96",,"97.04",,,"40.01","754.59","257.36","2622.38","4.27","1.59",,"2.65","47.8",,,"6.72","6.92",,,"989.43",,"43.65",,,"31.17",,,"8.27",,,"0.98",,"0.1",,,"0.23",,"18.01",,"2.84",,"1.36","7.76",,,,,,"3.69","12.4",,"3.34",,"22217.36","13176.88","15.74"
"North of Sahara, Total",,"5751.94","1764.78","2498.83","1488.33","9.14","0.54","6.05","25.13","17.56","0.26","7.31","4.76","679.94","786.17","0.61","2.34","0.14","0.15","30.58","106.05","16.4","0.91","2.52","0.08","9.74","0.19","8.41","0.01","0.06","-18.34","13.37","52","57.48","-45.65","1456.68",,"0.06",,,"0.01","0.13",,"278.76",,,,"0.67",,"0.26",,"383.49",,"0.1",,"-431.39","2266.74",,,,"2.75","-3.11","5.05","-8.16",,,,,,,,,"5.86","58.8",,"1.88","12.22","3.01","0.8","2.18",,,"3.7","14.37","7.14",,"-0.05",,,"8.22","5.33",,"-85.73","-85.73",,"-85.73",,"55.83","2.03",,"-1.55",,,"17.48",,"19.07","9.78","0.21",,,"-0.23","9.04",,,"3.39","0.04",,,"0.54",,"2.7",,,,,,,,,,,,,,,,,,"1.11",,"1.36",,,,,,,,,,,,"1632.13","1607.91",
"South of Sahara, Total",,"41830.21","23938.04","581.7","17310.48","973.52","68.49","53.85","439.69","912.59","5.93","439.02","160.44","1455.39","2279.75","0.2","2.81","14.54","250.55","296.51","1108.63","391.47","115.97","633.48","7.46","580.72","78.84","63.59","2.44","0.3","57.99","796.18","490.91","3344.97","9885.32","4255.03","0.17",,,,"0.07","5.09",,"137.18",,,"0.02","1.07",,"0.63","34.85","96.12",,"1.71",,"118.42","186.37",,"23.22","23.22","1823.29","1734.22","152.64","1581.58",,,,,,,,,"89.07","1602.89",,"11.13","227.08","28.22","34.61","211.78",,"73.4","119.57","92.24","541.69",,"34.32",,,"159.21","69.62","0.03","5895.72","5895.72",,"5895.72",,"3710.34","11.94",,"98.6",,,"22.53","754.59","191.02","2584.07","4.06","1.59",,"3.18","38.76",,,"3.33","6.73",,,"834.85",,"40.95",,,"31.17",,,"8.27",,,"0.98",,"0.1",,,"0.23",,"18.01",,"1.71",,,"7.76",,,,,,"3.69","12.4",,"3.34",,"19283.16","10477.89","15.74"
"Eastern Africa, Total",,"21197.85","12775.97","349.38","8072.49","368.27","43.5","30.78","170.77","366.69","5","269.18","122.18","307.64","827.9","0.03","1.07","12.89","201.71","86.24","735.12","251.62","10.85","306.34","2.94","405.79","74.13","24.43","2.4","0.23","18.71","521.28","171.93","2066.49","5738.16","1633.94",,,,,"0.07","1.39",,"75.35",,,"0.01","1",,"0.16","23.27","44.71",,"0.94",,"83","119.49",,"-215.11","-215.11","950.79","903.62","2.26","901.36",,,,,,,,,"47.17","730.09",,"4.94","132.04","8.3","12.36","98.84",,,"52.49","54.78","220.76",,"8.25",,,"110.81","26.51",,"2954.34","2954.34",,"2954.34",,"2018.46","8.64",,"56.34",,,"7.01","364.01","74.4","1476.36","3.59","0.21",,"-5.95","33.84",,,,"1.41",,,"311.68",,"21.16",,,"13.89",,,"6.54",,,"0.98",,,,,"0.23",,"6.39",,,,,"0.05",,,,,,"2.22","3.62",,"0.1",,"10128.23","5047.34","3.72"
"Middle Africa, Total",,"4379.33","2027.21","19.81","2332.31","23.48","8.29","2.31","120.67","73.52","0.15","2.37","4.06","381.15","212.71","0.13","0.2",,"16.5","25.93","100.19","33.62","6.29","23.93","0.21","34.1","4.34","-7.27","0.01",,"5.69","82.91","59.48","203.58","632.15","630.53",,,,,"0","0.68",,"0.41",,,,"0.01",,"0.18","5.26","5.25",,"0.09",,"5.32","2.6",,"-33.72","-33.72","389.4","396.45","146.92","249.54",,,,,,,,,"-7.05","247.78",,"1.35","14.92","3.26","6.23","30.28",,,"19.93","12.77","116.63",,"6.01",,,"20.75","15.63",,"626.94","626.94",,"626.94",,"471.39",,,,,,"1.92","108.09","34","326.73",,"0.54",,,"0.11",,,"0.33","1.07",,,"18.65",,"0.16",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.08","3.19",,,,"1629.23","1085.65","3.19"
"Southern Africa, Total",,"1700.75","1301.82","15.6","383.34","31.55","3.25","0.47","19.18","9.19","0.08","1.19","4.84","34.58","432.47","0.03","0.11","0.14","6.34","1.4","12.26","0.96","0.51","2.93","0.84","9.3",,"1.73","0.02",,"-1.33","7.28","11.57","24.83","717.64","155.16",,,,,,"0.45",,"3.91",,,"0",,,,,"-0.25",,"0.11",,"1.46","9.92",,"-2.96","-2.96","-7.25","-6.27","1.6","-7.87",,,,,,,,,"-0.98","46.68",,"1.1","1.37","3.03","4.64","3.7",,,"4.38","14.33","7.44",,,,,"1.24","5.43",,"10.68","10.68",,"10.68",,"181.03",,,,,,"6.93","1.62","21.15","145.53",,"0.15",,"-0.37","6.02",,,,"0.12",,,"19.47",,"3.09",,,,,,,,,,,,,,,,,,,,,"7.71",,,,,,,"0.55",,"0.61",,"1232.37","536.67","1.16"
"Western Africa, Total",,"11917.31","5721.02","194.49","6001.8","241.98","10.41","11.54","121.71","264.14","0.3","155.36","7.32","536.98","447.17","0.01","1.44",,"25.39","154.52","250.71","101.09","96.15","105.14","1.13","78.26","0.38","44.36","0.01","0.06","35.65","108.25","158.98","841.85","2162.72","1435.52",,,,,"0","2.58",,"56.5",,,"0.01","0.05",,"0.28","6.32","46.41",,"0.57",,"27.4","54.36",,"275.01","275.01","490.36","440.41","1.86","438.55",,,,,,,,,"49.94","470.95",,"3.73","78.75","7.28","8.31","76.34",,,"34.37","9.04","184.63",,"20.06",,,"26.4","22.05",,"2304.59","2304.59",,"2304.59",,"1025.37","3.29",,"42.26",,,"6.67","280.87","61.47","635.44","0.47","0.69",,"-1.67","-4.12",,,,"1.39",,,"206.67",,"9.91",,,"10.09",,,,,,,,,,,,,"11.12",,"0.81",,,,,,,,,"1.39",,,"0.61",,"4658.08","2693.59","0.61"
